id,latitude,longitude,type,name
1,19.292889,72.849024,dmart,"150 Feet Road, Near, Maxus Mall Rd, Bhayandar, Bhayandar West, Mira Bhayandar, Maharashtra 401101"
2,19.281207,72.876352,dmart,"Mira Bhayandar Road, Hatkesh Rd, Opp Domino's Pizza, Wing-A, Hatkesh Udhog Nagar, Mira Road, Mumbai, Maharashtra 401124"
3,19.257144,72.850752,dmart,"Laxman Tower, 1-A, Mithagar Rd, Anand Park, Dahisar West, Mumbai, Maharashtra 400068"
4,19.21333,72.842086,dmart,"Sports Club, 90 Feet Road, Mahavir Nagar, Opposite Kamla Vihar, Satya Nagar, Kandivali, Mumbai, Maharashtra 400067"
5,19.208968,72.873724,dmart,"Ground & 1st Floor, Narmada Mall, Near Thakur Cinema, ?????, Thakur Village, Kandivali East, Mumbai, Maharashtra 400101"
6,19.185986,72.835485,dmart,"Ground, 1st, 2nd Floor, Palm Court complex, New Link Rd, Malad, Mindspace, Malad West, Mumbai, Maharashtra 400064"
7,19.136331,72.810675,dmart,"Yari Rd, Jeet Nagar, Versova, Andheri West, Mumbai, Maharashtra 400061"
8,19.113439,72.847883,dmart,"Sahar Rd, Vijay Nagar, Andheri East, Mumbai, Maharashtra 400069"
9,19.081155,72.892384,dmart,"Khalai Village, Vidyavihar Society, Ghatkopar West, Mumbai, Maharashtra 400086"
10,19.110914,72.89768,dmart,"Dmart, Nahar Amrit Shakti, LOK Milan Colony, Chandivali, Powai, Mumbai, Maharashtra 400072"
11,19.116557,72.910447,dmart,"10-A, Orchard Ave, Hiranandani Gardens, Powai, Mumbai, Maharashtra 400076"
12,19.129039,72.926626,dmart,"Damji shamji business Galleria, next to Toyo House, Ambedkar Nagar, Kanjurmarg West, Kanjurmarg East, Mumbai, Maharashtra 400079"
13,19.163943,72.940232,dmart,"Mulund Goregaon Link Rd, Salpa Devi Pada, Mulund West, Mumbai, Maharashtra 400080"
14,19.223778,72.97924,dmart,"Kolshet Rd, Kailash Nagar, Thane West, Thane, Maharashtra 400607"
15,19.232348,72.968906,dmart,"Garden Estates, A1 Kothari Compound, Hill Garden, Manpada, Thane West, Thane, Maharashtra 400601"
16,19.260291,72.968829,dmart,"Ghodbunder Road Opp Muchhala College, Parkwoods, Thane West, Thane, Maharashtra 400615"
17,19.143173,72.991403,dmart,"Dmart Road, Sector 10A, Airoli, Navi Mumbai, Maharashtra 400708"
18,19.12251,72.999693,dmart,"Sector 5, Jijamata Nagar, Sector 7, Ghansoli, Navi Mumbai, Maharashtra 400701"
19,19.09975,73.005233,dmart,"Ramchandra Fakirji Naik Chowk, Sector 7, Kopar Khairane, Navi Mumbai, Maharashtra 400709"
20,19.057136,73.016496,dmart,"2, Juinagar Station Rd, Sector 10, Sanpada, Navi Mumbai, Maharashtra 400705"
21,19.018648,73.015032,dmart,"West, Karave Nagar, Seawoods West, Kendriya Vihar, Sector 38, Seawoods, Navi Mumbai, Maharashtra 400706"
22,19.01086,73.032471,dmart,"Sector 15, CBD Belapur, Navi Mumbai, Maharashtra 400614"
23,19.042184,73.076916,dmart,"D Mart Rd, Gharkul, Sector 15, Kharghar, Navi Mumbai, Maharashtra 400701"
24,19.004637,73.116498,dmart,"Sector 5, New Panvel East, Panvel, Navi Mumbai, Maharashtra 410206"
